凭证号,主体代码,会计主体,记账日期,摘要,科目编码,科目名称,借方金额,贷方金额,客户,供应商,关联方,产品,渠道,地区,税种,费用性质,使用部门,季度,单据日期,现金流项目,合同号,补助类型,内部往来标记
PZ00076,S2,黔岭酒类包装有限公司,2025-12-31,计提管理费用,6602,管理费用,18000000.00,,,,,,,,,其他,,,,支付其他与经营活动有关的现金,,,
PZ00076,S2,黔岭酒类包装有限公司,2025-12-31,计提管理费用,1002,银行存款,,18000000.00,,,,,,,,其他,,,,支付其他与经营活动有关的现金,,,
PZ00077,S2,黔岭酒类包装有限公司,2025-12-31,计提企业所得税,6801,所得税费用,8600000.00,,,,,,,,企业所得税,,,,,,,,
PZ00077,S2,黔岭酒类包装有限公司,2025-12-31,计提企业所得税,2221,应交税费,,8600000.00,,,,,,,企业所得税,,,,,,,,
PZ00078,S2,黔岭酒类包装有限公司,2025-12-31,缴纳企业所得税,2221,应交税费,8600000.00,,,,,,,,企业所得税,,,,,支付的各项税费,,,
PZ00078,S2,黔岭酒类包装有限公司,2025-12-31,缴纳企业所得税,1002,银行存款,,8600000.00,,,,,,,企业所得税,,,,,支付的各项税费,,,
PZ00079,S2,黔岭酒类包装有限公司,2025-12-31,计提应收账款坏账准备,6701,信用减值损失,1200000.00,,,,,,,,,信用减值,,,,,,,
PZ00079,S2,黔岭酒类包装有限公司,2025-12-31,计提应收账款坏账准备,1231,坏账准备,,1200000.00,,,,,,,,信用减值,,,,,,,
PZ00080,P,黔岭酒业股份有限公司,2025-10-31,向华东经销商销售产品,1002,银行存款,120000000.00,,华东区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,,,销售商品、提供劳务收到的现金,XS-2025-011,,
PZ00080,P,黔岭酒业股份有限公司,2025-10-31,向华东经销商销售产品,6001,主营业务收入,,120000000.00,华东区经销商（汇总）,,,黔岭·天酿,批发代理,国内,,,,,,销售商品、提供劳务收到的现金,XS-2025-011,,
PZ00081,P,黔岭酒业股份有限公司,2025-10-31,结转上述销售成本,6401,主营业务成本,72000000.00,,,,,,,,,,,,,,,,
PZ00081,P,黔岭酒业股份有限公司,2025-10-31,结转上述销售成本,1405,库存商品,,72000000.00,,,,,,,,,,,,,,,
PZ00082,P,黔岭酒业股份有限公司,2025-03-30,支付仓库及办公场所租金,6602,管理费用,2250000.00,,,,,,,,,租赁费,,,,支付其他与经营活动有关的现金,,,
PZ00082,P,黔岭酒业股份有限公司,2025-03-30,支付仓库及办公场所租金,1002,银行存款,,2250000.00,,,,,,,,租赁费,,,,支付其他与经营活动有关的现金,,,
PZ00083,P,黔岭酒业股份有限公司,2025-06-30,支付仓库及办公场所租金,6602,管理费用,2250000.00,,,,,,,,,租赁费,,,,支付其他与经营活动有关的现金,,,
PZ00083,P,黔岭酒业股份有限公司,2025-06-30,支付仓库及办公场所租金,1002,银行存款,,2250000.00,,,,,,,,租赁费,,,,支付其他与经营活动有关的现金,,,
PZ00084,P,黔岭酒业股份有限公司,2025-09-30,支付仓库及办公场所租金,6602,管理费用,2250000.00,,,,,,,,,租赁费,,,,支付其他与经营活动有关的现金,,,
PZ00084,P,黔岭酒业股份有限公司,2025-09-30,支付仓库及办公场所租金,1002,银行存款,,2250000.00,,,,,,,,租赁费,,,,支付其他与经营活动有关的现金,,,
PZ00085,P,黔岭酒业股份有限公司,2025-12-30,支付仓库及办公场所租金,6602,管理费用,2250000.00,,,,,,,,,租赁费,,,,支付其他与经营活动有关的现金,,,
PZ00085,P,黔岭酒业股份有限公司,2025-12-30,支付仓库及办公场所租金,1002,银行存款,,2250000.00,,,,,,,,租赁费,,,,支付其他与经营活动有关的现金,,,
PZ00086,P,黔岭酒业股份有限公司,2025-01-08,支付物料采购（单据于次年取得）,6602,管理费用,46000.00,,,,,,,,,其他,,,2026-01-09,支付其他与经营活动有关的现金,,,
PZ00086,P,黔岭酒业股份有限公司,2025-01-08,支付物料采购（单据于次年取得）,1002,银行存款,,46000.00,,,,,,,,其他,,,2026-01-09,支付其他与经营活动有关的现金,,,
PZ00087,P,黔岭酒业股份有限公司,2025-02-11,支付会务费（单据于次年取得）,6602,管理费用,38000.00,,,,,,,,,其他,,,2026-01-12,支付其他与经营活动有关的现金,,,
PZ00087,P,黔岭酒业股份有限公司,2025-02-11,支付会务费（单据于次年取得）,1002,银行存款,,38000.00,,,,,,,,其他,,,2026-01-12,支付其他与经营活动有关的现金,,,
PZ00088,P,黔岭酒业股份有限公司,2025-03-05,支付办公用品（单据于次年取得）,6602,管理费用,52000.00,,,,,,,,,其他,,,2026-01-06,支付其他与经营活动有关的现金,,,
PZ00088,P,黔岭酒业股份有限公司,2025-03-05,支付办公用品（单据于次年取得）,1002,银行存款,,52000.00,,,,,,,,其他,,,2026-01-06,支付其他与经营活动有关的现金,,,
PZ00089,P,黔岭酒业股份有限公司,2025-04-16,支付差旅费（单据于次年取得）,6602,管理费用,29000.00,,,,,,,,,其他,,,2026-01-17,支付其他与经营活动有关的现金,,,
PZ00089,P,黔岭酒业股份有限公司,2025-04-16,支付差旅费（单据于次年取得）,1002,银行存款,,29000.00,,,,,,,,其他,,,2026-01-17,支付其他与经营活动有关的现金,,,
PZ00090,P,黔岭酒业股份有限公司,2025-05-22,支付业务招待（单据于次年取得）,6602,管理费用,61000.00,,,,,,,,,其他,,,2026-01-23,支付其他与经营活动有关的现金,,,
PZ00090,P,黔岭酒业股份有限公司,2025-05-22,支付业务招待（单据于次年取得）,1002,银行存款,,61000.00,,,,,,,,其他,,,2026-01-23,支付其他与经营活动有关的现金,,,
PZ00091,P,黔岭酒业股份有限公司,2025-06-09,支付培训费（单据于次年取得）,6602,管理费用,34000.00,,,,,,,,,其他,,,2026-01-10,支付其他与经营活动有关的现金,,,
PZ00091,P,黔岭酒业股份有限公司,2025-06-09,支付培训费（单据于次年取得）,1002,银行存款,,34000.00,,,,,,,,其他,,,2026-01-10,支付其他与经营活动有关的现金,,,
PZ00092,P,黔岭酒业股份有限公司,2025-07-14,支付咨询服务（单据于次年取得）,6602,管理费用,47000.00,,,,,,,,,其他,,,2026-01-15,支付其他与经营活动有关的现金,,,
PZ00092,P,黔岭酒业股份有限公司,2025-07-14,支付咨询服务（单据于次年取得）,1002,银行存款,,47000.00,,,,,,,,其他,,,2026-01-15,支付其他与经营活动有关的现金,,,
PZ00093,P,黔岭酒业股份有限公司,2025-08-19,支付办公用品（单据于次年取得）,6602,管理费用,25000.00,,,,,,,,,其他,,,2026-01-20,支付其他与经营活动有关的现金,,,
PZ00093,P,黔岭酒业股份有限公司,2025-08-19,支付办公用品（单据于次年取得）,1002,银行存款,,25000.00,,,,,,,,其他,,,2026-01-20,支付其他与经营活动有关的现金,,,
PZ00094,P,黔岭酒业股份有限公司,2025-09-27,支付会务费（单据于次年取得）,6602,管理费用,58000.00,,,,,,,,,其他,,,2026-01-28,支付其他与经营活动有关的现金,,,
PZ00094,P,黔岭酒业股份有限公司,2025-09-27,支付会务费（单据于次年取得）,1002,银行存款,,58000.00,,,,,,,,其他,,,2026-01-28,支付其他与经营活动有关的现金,,,
PZ00095,P,黔岭酒业股份有限公司,2025-10-13,支付差旅费（单据于次年取得）,6602,管理费用,36000.00,,,,,,,,,其他,,,2026-01-14,支付其他与经营活动有关的现金,,,
PZ00095,P,黔岭酒业股份有限公司,2025-10-13,支付差旅费（单据于次年取得）,1002,银行存款,,36000.00,,,,,,,,其他,,,2026-01-14,支付其他与经营活动有关的现金,,,
PZ00096,P,黔岭酒业股份有限公司,2025-11-25,支付物料采购（单据于次年取得）,6602,管理费用,43000.00,,,,,,,,,其他,,,2026-01-26,支付其他与经营活动有关的现金,,,
PZ00096,P,黔岭酒业股份有限公司,2025-11-25,支付物料采购（单据于次年取得）,1002,银行存款,,43000.00,,,,,,,,其他,,,2026-01-26,支付其他与经营活动有关的现金,,,
PZ00097,P,黔岭酒业股份有限公司,2025-12-30,支付办公用品（单据于次年取得）,6602,管理费用,21000.00,,,,,,,,,其他,,,2026-01-03,支付其他与经营活动有关的现金,,,
PZ00097,P,黔岭酒业股份有限公司,2025-12-30,支付办公用品（单据于次年取得）,1002,银行存款,,21000.00,,,,,,,,其他,,,2026-01-03,支付其他与经营活动有关的现金,,,
PZ00098,S1,黔岭销售有限公司,2025-12-26,销售出库（第 1 批，年末发运）,1122,应收账款,520000.00,,华南区经销商（汇总）,,,黔岭·春酿,批发代理,国内,,,,,2026-01-05,,,,
PZ00098,S1,黔岭销售有限公司,2025-12-26,销售出库（第 1 批，年末发运）,6001,主营业务收入,,520000.00,华南区经销商（汇总）,,,黔岭·春酿,批发代理,国内,,,,,2026-01-05,,,,
PZ00099,S1,黔岭销售有限公司,2025-12-26,结转销售成本（第 1 批）,6401,主营业务成本,199888.00,,,,,,,,,,,,,,,,
PZ00099,S1,黔岭销售有限公司,2025-12-26,结转销售成本（第 1 批）,1405,库存商品,,199888.00,,,,,,,,,,,,,,,
PZ00100,S1,黔岭销售有限公司,2025-12-28,销售出库（第 2 批，年末发运）,1122,应收账款,380000.00,,华南区经销商（汇总）,,,黔岭·春酿,批发代理,国内,,,,,2026-01-06,,,,
PZ00100,S1,黔岭销售有限公司,2025-12-28,销售出库（第 2 批，年末发运）,6001,主营业务收入,,380000.00,华南区经销商（汇总）,,,黔岭·春酿,批发代理,国内,,,,,2026-01-06,,,,
PZ00101,S1,黔岭销售有限公司,2025-12-28,结转销售成本（第 2 批）,6401,主营业务成本,146072.00,,,,,,,,,,,,,,,,
PZ00101,S1,黔岭销售有限公司,2025-12-28,结转销售成本（第 2 批）,1405,库存商品,,146072.00,,,,,,,,,,,,,,,
PZ00102,S1,黔岭销售有限公司,2025-12-30,销售出库（第 3 批，年末发运）,1122,应收账款,340000.00,,华南区经销商（汇总）,,,黔岭·春酿,批发代理,国内,,,,,2026-01-07,,,,
PZ00102,S1,黔岭销售有限公司,2025-12-30,销售出库（第 3 批，年末发运）,6001,主营业务收入,,340000.00,华南区经销商（汇总）,,,黔岭·春酿,批发代理,国内,,,,,2026-01-07,,,,
PZ00103,S1,黔岭销售有限公司,2025-12-30,结转销售成本（第 3 批）,6401,主营业务成本,130696.00,,,,,,,,,,,,,,,,
PZ00103,S1,黔岭销售有限公司,2025-12-30,结转销售成本（第 3 批）,1405,库存商品,,130696.00,,,,,,,,,,,,,,,
PZ00104,P,黔岭酒业股份有限公司,2025-07-31,采购物流辅助服务,6602,管理费用,26000000.00,,,黔岭供应链管理有限公司,,,,,,其他,,,,支付其他与经营活动有关的现金,,,
PZ00104,P,黔岭酒业股份有限公司,2025-07-31,采购物流辅助服务,1002,银行存款,,26000000.00,,黔岭供应链管理有限公司,,,,,,其他,,,,支付其他与经营活动有关的现金,,,
PZ00105,P,黔岭酒业股份有限公司,2025-04-30,购建固定资产支付现金,1604,在建工程,486000000.00,,,,,,,,,,,,,购建固定资产、无形资产和其他长期资产支付的现金,,,
PZ00105,P,黔岭酒业股份有限公司,2025-04-30,购建固定资产支付现金,1002,银行存款,,486000000.00,,,,,,,,,,,,购建固定资产、无形资产和其他长期资产支付的现金,,,
PZ00106,P,黔岭酒业股份有限公司,2025-09-30,智能仓储系统完工转固,1601,固定资产,273000000.00,,,,,,,,,,,,,,,,
PZ00106,P,黔岭酒业股份有限公司,2025-09-30,智能仓储系统完工转固,1604,在建工程,,273000000.00,,,,,,,,,,,,,,,
PZ00107,P,黔岭酒业股份有限公司,2025-10-31,收到与收益相关政府补助,1002,银行存款,21000000.00,,,,,,,,,,,,,收到其他与经营活动有关的现金,,与收益相关,
PZ00107,P,黔岭酒业股份有限公司,2025-10-31,收到与收益相关政府补助,6117,其他收益,,21000000.00,,,,,,,,,,,,收到其他与经营活动有关的现金,,与收益相关,
PZ00108,P,黔岭酒业股份有限公司,2025-12-31,收到技改专项资金,1002,银行存款,30000000.00,,,,,,,,,,,,,收到其他与经营活动有关的现金,,与资产相关,
PZ00108,P,黔岭酒业股份有限公司,2025-12-31,收到技改专项资金,2901,递延收益,,30000000.00,,,,,,,,,,,,收到其他与经营活动有关的现金,,与资产相关,
PZ00109,P,黔岭酒业股份有限公司,2025-08-31,购置理财产品,1101,交易性金融资产,320000000.00,,,,,,,,,,,,,投资支付的现金,,,
PZ00109,P,黔岭酒业股份有限公司,2025-08-31,购置理财产品,1002,银行存款,,320000000.00,,,,,,,,,,,,投资支付的现金,,,
PZ00110,P,黔岭酒业股份有限公司,2025-12-31,理财产品公允价值变动,1101,交易性金融资产,18000000.00,,,,,,,,,,,,,,,,
PZ00110,P,黔岭酒业股份有限公司,2025-12-31,理财产品公允价值变动,6111,投资收益,,18000000.00,,,,,,,,,,,,,,,
PZ00111,S1,黔岭销售有限公司,2025-06-30,向母公司分配现金股利,4104,未分配利润,80000000.00,,,,黔岭酒业股份有限公司,,,,,,,,,分配股利、利润或偿付利息支付的现金,,,内部股利
PZ00111,S1,黔岭销售有限公司,2025-06-30,向母公司分配现金股利,1002,银行存款,,80000000.00,,,黔岭酒业股份有限公司,,,,,,,,,分配股利、利润或偿付利息支付的现金,,,内部股利
PZ00112,P,黔岭酒业股份有限公司,2025-06-30,收到子公司分配股利,1002,银行存款,80000000.00,,,,黔岭销售有限公司,,,,,,,,,取得投资收益收到的现金,,,内部股利
PZ00112,P,黔岭酒业股份有限公司,2025-06-30,收到子公司分配股利,6111,投资收益,,80000000.00,,,黔岭销售有限公司,,,,,,,,,取得投资收益收到的现金,,,内部股利
PZ00113,P,黔岭酒业股份有限公司,2025-05-31,宣告分配 2024 年度现金股利,4104,未分配利润,395800000.00,,,,,,,,,,,,,,,,
PZ00113,P,黔岭酒业股份有限公司,2025-05-31,宣告分配 2024 年度现金股利,2241,其他应付款,,395800000.00,,,,,,,,,,,,,,,
PZ00114,P,黔岭酒业股份有限公司,2025-07-31,支付 2024 年度现金股利,2241,其他应付款,395800000.00,,,,,,,,,,,,,分配股利、利润或偿付利息支付的现金,,,
PZ00114,P,黔岭酒业股份有限公司,2025-07-31,支付 2024 年度现金股利,1002,银行存款,,395800000.00,,,,,,,,,,,,分配股利、利润或偿付利息支付的现金,,,
PZ00115,P,黔岭酒业股份有限公司,2025-12-31,归还短期借款,2611,一年内到期的非流动负债,12000000.00,,,,,,,,,,,,,偿还债务支付的现金,,,
PZ00115,P,黔岭酒业股份有限公司,2025-12-31,归还短期借款,1002,银行存款,,12000000.00,,,,,,,,,,,,偿还债务支付的现金,,,
PZ00116,P,黔岭酒业股份有限公司,2025-03-31,取得银行借款（以应收账款质押）,1002,银行存款,200000000.00,,,,,,,,,,,,,取得借款收到的现金,,,
PZ00116,P,黔岭酒业股份有限公司,2025-03-31,取得银行借款（以应收账款质押）,2001,短期借款,,200000000.00,,,,,,,,,,,,取得借款收到的现金,,,
